brand, product, price, shipping, hyperlink
ASUS,ASUS Phoenix GeForce RTX 2060 DirectX 12 PH-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$339.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-2060-ph-rtx2060-6g/p/N82E16814126287?Item=N82E16814126287
MSI,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LP 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Video Card,$44.99,$1.99 Shipping,https://www.newegg.com/msi-geforce-gt-710-gt-710-1gd3h-lp/p/N82E16814127931?Item=N82E16814127931
MSI,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Ventus XS OC 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$169.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1650-super-gtx-1650-super-ventus-xs-oc/p/N82E16814137485?Item=N82E16814137485
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1650OC-4GL 4GB 128-Bit GDDR5 PCI Express 3.0 x16 Low Profile Video Card,$159.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-gtx-1650-gv-n1650oc-4gl/p/N82E16814932241?Item=N82E16814932241
MSI,MSI GeForce GT 710 DirectX 12 GT 710 2GD3 LP 2GB 64-Bit DDR3 PCI Express 2.0 HDCP Ready Low Profile Video Card,$54.99,$3.99 Shipping,https://www.newegg.com/msi-geforce-gt-710-gt-710-2gd3-lp/p/N82E16814127932?Item=N82E16814127932
MSI,MSI GeForce GTX 1650 DirectX 12 GTX 1650 4GT LP OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Low Profile Video Card,$159.99,$0.99 Shipping,https://www.newegg.com/msi-geforce-gtx-1650-gtx-1650-4gt-lp-oc/p/N82E16814137480?Item=N82E16814137480
EVGA,EVGA GeForce RTX 2070 SUPER FTW3 ULTRA GAMING| 08G-P4-3277-KR| 8GB GDDR6| iCX2 Technology| RGB LED| Metal Backplate,$665.11,$18.99 Shipping,https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3277-kr/p/N82E16814487452?Item=9SIAFVFAX97536
MSI,MSI GeForce GTX 1660 Ti DirectX 12 GTX 1660 TI GAMING X 6G 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,$329.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1660-ti-gtx-1660-ti-gaming-x-6g/p/N82E16814137391?Item=N82E16814137391
ASUS,ASUS Turbo GeForce RTX 2060 DirectX 12 TURBO-RTX2060-6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$389.99,$3.99 Shipping,https://www.newegg.com/asus-geforce-rtx-2060-turbo-rtx2060-6g/p/N82E16814126286?Item=N82E16814126286
GIGABYTE,GIGABYTE GeForce GTX 1650 DirectX 12 GV-N1650IX-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 MINI ITX Video Card,$139.99,Free Shipping,https://www.newegg.com/gigabyte-gv-n1650ix-4gd/p/N82E16814932283?Item=N82E16814932283
ZOTAC,ZOTAC GeForce GTX 1060 AMP!| ZT-P10600B-10M| 6GB GDDR5 Super Compact Dual-Fan IceStorm Cooling FREEZE Fan Stop,$489.00,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600b-10m/p/N82E16814500403?Item=9SIAE8DA2X3170
ZOTAC,ZOTAC GeForce GTX 1060 Mini| ZT-P10600A-10L| 6GB GDDR5 Super Compact,$440.00,Free Shipping,https://www.newegg.com/zotac-geforce-gtx-1060-zt-p10600a-10l/p/N82E16814500402?Item=9SIAE8DA8J8810
EVGA,EVGA GeForce RTX 2080 Ti XC ULTRA GAMING| 11G-P4-2383-KR| 11GB GDDR6| Dual HDB Fans & RGB LED,$1499.99,Special Shipping,https://www.newegg.com/evga-geforce-rtx-2080-ti-11g-p4-2383-kr/p/N82E16814487401?Item=9SIA1K69UM3393
MSI,MSI GeForce GT 710 DirectX 12 GT 710 1GD3H LPV1 1GB 64-Bit DDR3 PCI Express 2.0 x8 HDCP Ready Low Profile Video Card,$49.99,Free Shipping,https://www.newegg.com/msi-geforce-gt-710-gt-710-1gd3h-lpv1/p/N82E16814127930?Item=N82E16814127930
ASUS,ASUS GeForce GT 710 2GB GDDR5 HDMI VGA DVI Graphics Card (GT710-SL-2GD5-CSM),$54.99,$3.99 Shipping,https://www.newegg.com/asus-geforce-gt-710-gt710-sl-2gd5-csm/p/N82E16814126211?Item=N82E16814126211
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,$239.99,Free Shipping,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-4g/p/N82E16814137060?Item=9SIA73M77W4415
